,Date,County,Total Cases,New Cases,New Deaths,Total Deaths,New Recovered,Total Recovered,New Active,Total Active,New Inactive Recovered,Total Inactive Recovered,New Hospitalized,Total Hospitalized
22332,2020-11-08,Davidson,35139.0,264.0,0.0,365.0,,,113.0,2590.0,151.0,32184.0,1.0,1241.0
22429,2020-11-09,Davidson,35655.0,516.0,1.0,366.0,,,335.0,2925.0,180.0,32364.0,1.0,1242.0
22526,2020-11-10,Davidson,35938.0,283.0,3.0,369.0,,,-20.0,2905.0,300.0,32664.0,3.0,1245.0
22623,2020-11-11,Davidson,36414.0,476.0,5.0,374.0,,,141.0,3046.0,330.0,32994.0,7.0,1252.0
22720,2020-11-12,Davidson,36757.0,343.0,0.0,374.0,,,8.0,3054.0,335.0,33329.0,5.0,1257.0
22817,2020-11-13,Davidson,37015.0,258.0,5.0,379.0,,,-55.0,2999.0,308.0,33637.0,12.0,1269.0
22914,2020-11-14,Davidson,37364.0,349.0,1.0,380.0,,,35.0,3034.0,313.0,33950.0,3.0,1272.0
23011,2020-11-15,Davidson,37842.0,478.0,2.0,382.0,,,284.0,3318.0,192.0,34142.0,0.0,1272.0
23108,2020-11-16,Davidson,38583.0,741.0,5.0,387.0,,,560.0,3878.0,176.0,34318.0,4.0,1276.0
23205,2020-11-17,Davidson,38719.0,136.0,3.0,390.0,,,-375.0,3503.0,508.0,34826.0,6.0,1282.0
23302,2020-11-18,Davidson,39122.0,403.0,1.0,391.0,,,104.0,3607.0,298.0,35124.0,3.0,1285.0
23399,2020-11-19,Davidson,39405.0,283.0,2.0,393.0,,,-221.0,3386.0,502.0,35626.0,8.0,1293.0
23496,2020-11-20,Davidson,39770.0,365.0,6.0,399.0,,,-74.0,3312.0,433.0,36059.0,10.0,1303.0
23593,2020-11-21,Davidson,40119.0,349.0,1.0,400.0,,,-58.0,3254.0,406.0,36465.0,0.0,1303.0
23690,2020-11-22,Davidson,40436.0,317.0,2.0,402.0,,,82.0,3336.0,233.0,36698.0,2.0,1305.0
23787,2020-11-23,Davidson,40820.0,384.0,5.0,407.0,,,155.0,3491.0,224.0,36922.0,2.0,1307.0
23884,2020-11-24,Davidson,40834.0,14.0,2.0,409.0,,,-568.0,2923.0,580.0,37502.0,8.0,1315.0
23981,2020-11-25,Davidson,40984.0,150.0,3.0,412.0,,,-409.0,2514.0,556.0,38058.0,3.0,1318.0
24078,2020-11-26,Davidson,41460.0,476.0,7.0,419.0,,,86.0,2600.0,383.0,38441.0,16.0,1334.0
24175,2020-11-27,Davidson,42057.0,597.0,0.0,419.0,,,62.0,2662.0,535.0,38976.0,2.0,1336.0
24272,2020-11-28,Davidson,42703.0,646.0,1.0,420.0,,,200.0,2862.0,445.0,39421.0,5.0,1341.0
24369,2020-11-29,Davidson,42880.0,177.0,0.0,420.0,,,-52.0,2810.0,229.0,39650.0,1.0,1342.0
24466,2020-11-30,Davidson,43546.0,666.0,1.0,421.0,,,465.0,3275.0,200.0,39850.0,4.0,1346.0
24563,2020-12-01,Davidson,43915.0,369.0,2.0,423.0,,,-334.0,2941.0,701.0,40551.0,4.0,1350.0
24660,2020-12-02,Davidson,44374.0,459.0,2.0,425.0,,,-160.0,2781.0,617.0,41168.0,9.0,1359.0
24757,2020-12-03,Davidson,44813.0,439.0,4.0,429.0,,,-145.0,2636.0,580.0,41748.0,9.0,1368.0
24854,2020-12-04,Davidson,45276.0,463.0,5.0,434.0,,,31.0,2667.0,427.0,42175.0,6.0,1374.0
24951,2020-12-05,Davidson,45733.0,457.0,1.0,435.0,,,6.0,2673.0,450.0,42625.0,10.0,1384.0
25048,2020-12-06,Davidson,45923.0,190.0,3.0,438.0,,,-86.0,2587.0,273.0,42898.0,3.0,1387.0
25145,2020-12-07,Davidson,46491.0,568.0,2.0,440.0,,,374.0,2961.0,192.0,43090.0,1.0,1388.0
